kingdom,class,phylum,order,family,genus,species
Plantae,Anthophyta,Dicotyledoneae,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus watsonii
Protozoa,Sulcozoa,Thecomonadea,Apusomonadida,Apusomonadidae,Amastigomonas,Amastigomonas sp.
Animalia,Annelida,Polychaeta,NA,Capitellidae,Amastigos,Amastigos acutus
Animalia,Bryozoa,Gymnolaemata,Ctenostomata,Vesiculariidae,Amathia,Amathia verticillata
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Perityle,Perityle brandegeeana
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hymenothrix,Amauriopsis rotundifolia
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Amauropelta,Amauropelta rudis
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,Amazilia rutila diluta
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,Amazilia rutila graysoni
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona autumnalis
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona finschi
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona oratrix
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona oratrix tresmariae
Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma cajennense
Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma dissimile
Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Amblyomma,Amblyomma scutatum
Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Amblyscirtes,Amblyscirtes tolteca tolteca
Plantae,Anthophyta,Dicotyledoneae,Asterales,Asteraceae,Ambrosia,Ambrosia ambrosioides
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia arborescens
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia bryantii
